date,workout_title,workout_duration,ots
2026-02-16,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-02-16,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-02-16,"Zwift - Pacer Group Ride: The Magnificent 8 In Watopia With Miguel",0:44:01,16
2026-02-17,"REGENERATION WEEK Completely OFF Today",,
2026-02-17,"Crisscross: Tempo / Zone 4 Threshold 4 x 8 minutes",1:30:00,88
2026-02-17,"Zwift - Pacer Group Ride: The Magnificent 8 In Watopia With Miguel",0:42:08,15
2026-02-18,"Criss Cross, Tempo > VO2: 3 x 10 minutes",1:30:00,91
2026-02-18,"Tempo Bursts: 3 x 15 minutes",2:00:00,121
2026-02-18,"Zwift - Coachcat: Criss Cross, Tempo > Vo2: 3 X 10 Minutes On Tempus Fugit In Watopia",1:35:46,79
2026-02-19,"REGENERATION WEEK Completely OFF Today",,
2026-02-19,"REVO Strength & Conditioning",,10
2026-02-19,"Sweet Spot Over-Unders: 5 x 4 minutes",1:30:00,106
2026-02-19,"Zwift - Pacer Group Ride: The Magnificent 8 In Watopia With Miguel",0:36:44,14
2026-02-20,"TGIF Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-02-20,"Zwift - Pacer Group Ride: Ocean Lava Cliffside Loop In Watopia With Maria",1:39:55,80
2026-02-21,"Sweet Spot Group Ride: 4 hours",4:00:00,200
2026-02-22,"Zone 6: FOUR 1 minuters",3:30:00,185
2026-02-23,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-02-24,"REGENERATION WEEK Completely OFF Today",,
2026-02-25,"Criss Cross, Tempo > VO2: 3 x 10 minutes",1:30:00,91
2026-02-26,"REGENERATION WEEK Completely OFF Today",,
2026-02-26,"REVO Strength & Conditioning",,10
2026-02-27,"Sweet Spot Over-Unders: 4 x 8 minutes",1:30:00,90
2026-02-28,"Sweet Spot Group Ride",3:00:00,170
2026-03-01,"REGENERATION WEEK Completely OFF Today",,
2026-03-02,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-03,"Criss Cross, Threshold > Zone 6: 2 x 10 minutes (Diabolical)",1:30:00,107
2026-03-04,"Sweet Spot Bursts: 3 x 10 minutes",2:00:00,125
2026-03-05,"Zone 2: 1.5 hrs",1:30:00,
2026-03-06,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-07,"Attack Interval-Esque Group Ride",3:00:00,200
2026-03-08,"Zone 2: Endurance + SPRINTS: 3 hrs",3:00:00,150
2026-03-09,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-10,"Criss Cross, Threshold > Zone 6: 3 x 8 minutes (Diabolical): 1 hour",1:00:00,88
2026-03-11,"Sweet Spot Bursts: 4 x 8 minutes",2:00:00,126
2026-03-12,"Over-Unders: 4 x 5 minutes (30 seconds)",2:00:00,135
2026-03-13,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-14,"Attack Interval-Esque Group Ride: 4 hours",4:00:00,250
2026-03-15,"""FreeStyle"" Sweet Spot ~ 90 min",2:30:00,185
2026-03-16,"YogaGLO use ""FasCat60days"" for a FREE 60 Days",,
2026-03-16,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-17,"20 minute Field Test",1:30:00,90
2026-03-18,"Sweet Spot: 2 x 15 minutes",1:15:00,77
2026-03-19,"Tempo Bursts: 2 x 20 minutes",1:30:00,92
2026-03-20,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-21,"Zone 5/VO2 Max: 4 minuters [16 min total]",1:30:00,90
2026-03-22,"Sweet Spot OTS Ride: 150",,150
2026-03-23,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-24,"Gravel Power: 1 hr, VO2, Threshold & Sweet Spot",1:00:00,
2026-03-25,"Sweet Spot: 2 x 20 Climbing Intervals",1:30:00,95
2026-03-26,"Zone 2: 1.5 hrs",1:30:00,
2026-03-27,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-28,"200 OTS: Zones 2 - Sweet Spot",,200
2026-03-29,"Zone 2: 2 hours",2:00:00,
2026-03-30,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-03-31,"Gravel Power Workout, 1.5 hrs: VO2, Threshold & Sweet Spot",1:30:00,75
2026-04-01,"Threshold Intervals: 2 x 10 minutes",1:35:00,94
2026-04-02,"Sweet Spot: 2 x 20, 1.5hrs",1:30:00,98
2026-04-03,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-04,"Gravel Power Simulation (4hrs)",4:00:00,240
2026-04-05,"Zone 2: 1.5 hrs",1:30:00,
2026-04-06,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-07,"Active Recovery OR day off",0:45:00,10
2026-04-08,"Zone 5/VO2 Max: 5 minuters, 2 sets & 1.5 hrs",1:30:00,86
2026-04-09,"Zone 2: 1.5 hrs",1:30:00,
2026-04-10,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-11,"Gravel Power Simulation (5 hrs)",5:00:00,300
2026-04-12,"Completely OFF: Recovery Day",,
2026-04-13,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-14,"Zone 5/VO2 Max: 3 minuters, 2 sets & 1.5 hrs",1:30:00,86
2026-04-15,"Zone 6: 1 minuters & Sweet Spot",1:30:00,80
2026-04-16,"Zone 2: 1.5 hrs",1:30:00,
2026-04-17,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-18,"Gravel Power Simulation (3 hrs)",3:00:00,180
2026-04-19,"Zone 2: 2 hours",2:00:00,
2026-04-20,"Completely OFF: Recovery Day",,
2026-04-20,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-21,"Zone 6: 6 x 30 seconders [1:15]",1:15:00,72
2026-04-21,"Completely OFF: Recovery Day",,
2026-04-22,"Zone 1: 30 min",0:30:00,10
2026-04-22,"Zone 6: 6 x 30 seconders [1:15]",1:15:00,72
2026-04-23,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-23,"Recovery Day: Foundations > REVO > Yoga for Cyclists",,
2026-04-24,"Openers 4 x 45 seconds: 1hr",1:00:00,58
2026-04-24,"Openers: 4 x 45 seconds",1:00:00,54
2026-04-25,"Good Luck Today!!",,
2026-04-25,"Race/ Event",,
